Datetime,Text,Username
Dec-2022,"SOCIALIZED MEDIA: HUNDREDS OF ISRAEL’S UNIT 8200 EX-SPIES WORK FOR FACEBOOK, GOOGLE, MICROSOFT",Tibou33969029
Dec-2022,"RT HuffPostWomen: The Microsoft mogul gave $5 billion to the Bill &amp; Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. https://t.co/RjWHXGDgIk #girlpower",GrowGirlathon
Dec-2022,"The Microsoft mogul gave $5 billion to the Bill &amp; Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education https://t.co/XnNtbiBfuf via @HuffPost",LinusAlso
Dec-2022,"Microsoft SQL/C Developer at RBC
Come Work with Us At RBC our culture is deeply supportive and rich in opportunity and reward You will help our clients thrive ...
#Programming #crossover 
https://t.co/o93h5dg2Z6",zobjobsCA
Dec-2022,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718)786-6594 https://t.co/I4DNqurE2o",radio_rusrek
Dec-2022,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718)786-6594 https://t.co/XfC8GAXQTR",rusrek_news
Dec-2022,@TolandsJournal @destinytrack Yes but Microsoft forced Bungie to work on Halo. Sony isn't.,Waluigisbae
Dec-2022,"Interesting read on hybrid work - we need to look forward rather than back as 2023 kicks off 

 #work #hybridworkplace #microsoft https://t.co/GO8y6kGEAo",janemackarell
Dec-2022,@Z_is_real_2402 i will now work offline. you need to be logged in to a microsoft account to play minecraft.. is it a very old version of minecraft?,brainyfox_noob
Dec-2022,"what the heck microsoft. RD client 8 is no more compatible with my work samsung s7edge -___- uuuuugh... cant remote into my por....n........

""work...."" yeah totally work PC on this phone uuuuugh......

funny though the S7edge does support UbuntuTouch... hmmmmmmmmmm XD",sillycrazyfox
Dec-2022,"The Microsoft mogul gave $5 billion to the Bill &amp; Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. https://t.co/QycAvHWqFu",HuffPost
Dec-2022,@Nothennyfr Buy Microsoft stock,MudBucket
Dec-2022,"The Microsoft mogul gave $5 billion to the Bill &amp; Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. https://t.co/vWTzZ4zQSC",HuffPostWomen
Dec-2022,"The Microsoft mogul gave $5 billion to the Bill &amp; Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. https://t.co/vA14rHmRnm",HuffPostLife
Dec-2022,"Mouse helped to create an ecosystem of customizable products built with and for people with disabilities
Now mix-and-match computer Accessories give people with disabilities easier ways to work &amp; create
Microsoft's new adaptive Accessories help to remove Barriers &amp; increase",AsIhaveforgiven
Dec-2022,Grammarly doesn't work in Microsoft Edge as far as I can tell. So that's a dealbreaker.,CTrappe
Dec-2022,Microsoft stock did nothing for 10 years so no growth stocks can go up now. Dont worry about fcf growth. Just don't buy stocks because of Steve Balmer. 😲 https://t.co/sxC3Gu5uIo,Alex__Pitti
Dec-2022,Summary from Microsoft:  Work is too hard so just quit.  Investing time now is no way to build a career.  Some women may have a gender pay gap because they are generally too smart to put in the slave-wage hours  to earn the high-paying jobs. https://t.co/lWwdOSK68g,themrttt
Dec-2022,"Look at any university in the US, they have classes and degrees centered on proprietary tech and companies like Microsoft, Apple, Oracle. They degrade education to get people ready to work at these companies.",NullRSJ
Dec-2022,"@adisidapara This is a huge enterprise in a hyper regulated market. Wedges don’t work here. You gotta ship the whole enchilada.

Maybe possible if you were Microsoft or Palantir",kelp_feeder
Dec-2022,@ohiswellington @ruffydfire Hello sir. Can one work remotely? I'm so good with Microsoft Office,Ur_villageboy_
Dec-2022,@notthreadguy Centralized platforms for sure. I wont tag them or I get death threats. Also NFTWorlds didnt work out for me too hot after microsoft rugged them,GypsyD24
Dec-2022,"🎓Excellent Elizabeth EXCELS 🥳
Taking her first steps to becoming a #Microsoft Certified #Professional with 85% 🔥 in her MOS Excel exam 👏🏾 #womenintech
🖥️ Get Learning
💼 Get Work
💵 Get Paid
👉🏾https://t.co/npptS4d12m
@lovepaddington
@trustforlondon
@LondonYouth
@Caf @isgiv https://t.co/l1EJ5CnVNR",PeoplesPlaceCP
Dec-2022,@business Microsoft Viva is not affecting the way  I work with colleagues.. personally,Siya__Jama
Dec-2022,"While hate-mongering democrats are pointing at Tesla and Twitter for stock losses keep in mind that the entire market has done poorly. Apple, Google, Microsoft, Amazon ALL did bad this year. 

But, by all means, focus on Elon because he doesn't do what he's told.",Abnsojer
Dec-2022,"Got myself a laptop to get work done while out of town and man is microsoft edge really trying hard now.

Full yandere mode, yeesh https://t.co/hxhDa1vdLp",SophistEevee
