,Text,goldtruth
0,"SOCIALIZED MEDIA: HUNDREDS OF ISRAEL’S UNIT 8200 EX-SPIES WORK FOR FACEBOOK, GOOGLE, MICROSOFT",negative
1,"RT HuffPostWomen: The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education.  #girlpower",neutral
2,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education  via ",neutral
3,"Microsoft SQL/C Developer at RBC
Come Work with Us At RBC our culture is deeply supportive and rich in opportunity and reward You will help our clients thrive ...
#Programming #crossover 
",positive
4,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718Confusion786-6594 ",neutral
5,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718Confusion786-6594 ",neutral
6,  Yes but Microsoft forced Bungie to work on Halo. Sony isn't.,negative
7,"Interesting read on hybrid work - we need to look forward rather than back as 2023 kicks off 

 #work #hybridworkplace #microsoft ",positive
8, i will now work offline. you need to be logged in to a microsoft account to play minecraft.. is it a very old version of minecraft?,neutral
9,"what the heck microsoft. RD client 8 is no more compatible with my work samsung s7edge -___- uuuuugh... cant remote into my por....n........

""work...."" yeah totally work PC on this phone uuuuugh......

funny though the S7edge does support UbuntuTouch... hmmmmmmmmmm Laughing_big_grin_or_laugh_with_glasses",negative
10,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neutral
11, Buy Microsoft stock,positive
12,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neutral
13,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neutral
