,Text,goldtruth
0,"â€Drywall's ""Work The Dumb Oracle"" album's warm bluesy abstract feel owes more to Beefheart, Hendrix and Howlingâ€trade_mark Wolf than any techno-industrial groups"" #Soundtrack #stanridgway #wallofvoodoo #filmnoir #electronicmusic #blues #guitar latest music is here:  ",positive
1,"   What is a ""fully auto clip?"" Do you even know how guns work?
 ",neutral
2,"My copy of FANTASTIC FRIGHTS arrived, marking the first time I got published in a comics anthology as a writer/artist, with my story THE ORACLE OF DEATH.

 produced a beautiful book, and Evan Waterman was an excellent editor and a pleasure to work with! ",positive
3,"Look at any university in the US, they have classes and degrees centered on proprietary tech and companies like Microsoft, Apple, Oracle. They degrade education to get people ready to work at these companies.",positive
4," Ms Joyce, Iâ€trade_markve followed your work online.  It would be super dope to receive an oracle card for 2023 from you, thank you!",positive
5," Another beautiful addition to your oracle deck!  Beautiful work siSTARðŸ’« Blessings, peace, love and amplified creation as we shift into 2023 âœ¨ðŸŒŸðŸtrade_markðŸ»â¤ï¸",positive
6,  you really had to work hard for that one ðŸ˜†,positive
7,   Can you use yourself as a well paid (salary in quotesConfusion employee example? Or you are about to give examples of the Tim Cooks of this world ðŸ˜‰ðŸ˜‰ðŸ˜‰,negative
8,"   So are Nancy pelosis stock trades and voting history. Sheâ€trade_marks some kind of Oracle, remember when she bought all that $WEED etf 3 days before Bidenâ€trade_marks announcement of the plan to decriminalize cannabis? Literal",negative
9,"I've managed to do all this with 2 kids, one a baby born this year. WHEW! Commissions, Llewellyn's Magical Almanac, personal work, + almost all of the sketches are done for the Witch's Familiar Oracle. I'm reading to start painting cards the first week of 2023!

Happy New Year! ",positive
10,"I wanted to do more, but an injury led to me focusing on smaller videos. Donkey Kong Land was way better received than I ever expected and Oracle of Seasons was a blast to work on. Yet I find myself drawn to longer videos. ",positive
11,"This has been one of the most user and developer hostile platforms I've ever worked with, and I've worked with Oracle in the past. I don't understand how developers are expected to work with SendGrid anymore.",negative
