,Text,sentiment
992, When will the Apple Card work with Acorns.  It’s just a MasterCard by Goldman Sachs.,neg
993,  Same here in LA but that’s not been the case nationwide. I work at various farmer’s markets around town  they always have plenty of eggs. The eggs I showed in the picture are from heirloom chickens  they get fed apples red_apple so their eggs taste bomb bomb  ,neg
994,"Getting a gf by walking suburban neighborhoods till one throws a bag of apples at me.

This will work, right?",neg
995,  If I remember correctly people have to buy the coins through the App Store right? So if they haven’t changed it anyone who bought the coins and such can dispute it through purchases in the App Store Happy_face_or_smiley Apple should refund them. (Not sure how it would work on androidConfusion,neg
996,"   Said the guy who said Apple is a cult company, Amazon is just a book company etc. You just can't fix stupid unfortunately, no matter how hard you try.  Please, don't buy Tesla stock, we don't want to many ""intelligent"" people with too much money in their hands....",neg
997,"  As a Brit I didn't even know this, but I'd still stand by Sunday dinner as the best dish. Especially with pork, crackling and apple sauce. I knew a fella who worked at the Ritz in London, I'd buy cups of stock gravy from his shop, Sunday dinner hinges on the gravy.",neg
998,"You’re telling me that my Air Pods I thought I lost but actually just left outside of my house for the past 6 months weathered rain, snow, extreme wind, etc. and STILL WORK?!  deserves major points on this one. raising_handsmedium-light_skin_toneclapping_handsmedium-light_skin_tone",neg
999,"  Ok, fair point, you can have your one team in history who have dominated it that way. We don’t have their quality and it doesn’t work for us. I get you picked a hole in my argument but it’s like comparing apples with pears.",neg
1000,2023 Investor Watch: 4 Things Apple Stock Investors Must Keep an Eye On and Why ,pos
1001," is worth $2.3 Trillion, but the search bar in the App Store doesn't work face_with_tears_of_joy burn it all down",neg
1002," Oh yeah, that guy is a real piece of work. His whole account is dedicated to shitting on Samsung whether he will admit it or not.

Like I said to him before, it's as if I chose to tweet about Apple constantly - I don't.

I said it's not for me and I moved on.",neg
1003, I choose the red one.And I’d buy Apple stock at the IPO.,pos
1004,"   Damn, I used to work for Apple Music 8 years ago. Wish I was still there to fix some bugs!",neg
1005,want an apple? or all of them? too much work.,pos
1006," I just email myself a to-do list of ~5 things per day

Works well

Other than that: Apple Notes and Notion for full-time work stuff",neg
1007,  $TSLA is a megacap stock because it is overvalued not  because it is as big as Apple or MSFT,neg
1008," They sold millions of laptops with this ""SafeView"" display. Unfortunately, not only malware quickly adapted to work around the limitations, but it turned out Apple just had a huge order for different Newton screens  wanted to use them in something, after the Newton cancelation.",neg
1009," erm because he did?
""i was out sitting under a tree with my fleet of cars when an apple landed on my head, it was at this point i realized that i needed to work out more and invent calculus""",neg
1010,"    Doesn’t work if you’re over 60. 

I tried.",neg
1011,"2023 Investor Watch: 4 Things Apple Stock Investors Must Keep an Eye On and Why
 #cryptocurrency #blockchain #cryptonews",pos
1012," YEAH! Clip studio is a pain sometimes and the Apple Pencil doesn’t work on it, but I do use it for lineart on ibispaint, any other time I usually use my finger I’m just used to it Laughing_big_grin_or_laugh_with_glasses",neg
1013,    I'll bet that wouldn't work.,neg
1014,US labor regulator says Apple violated employee rights with restrictive work rules ,pos
1015,"   I rip my own music from the CD’s I still purchase. Nothing like having a physical copy of an artist’s work. Yes, I have Frampton: Gold in my playlist.",pos
1016,   as someone who has money invested in Apple Stock I'd rather them not spend billions RD'ing and producing a product that is going to flop,neg
1017," Work has been crazy busy so all I got in so far was sliced apple  peanut butter, but I will be soon.",neg
1018,"Wedbush calls Cook 'Hall of Fame CEO,' says no layoffs coming  #Apple",pos
1019," Belkin WeMo works well for me. I have both smart outlets (they plug in the regularConfusion, and light switches. I have not checked if they have in-wall controllable outlets though. They also work with Alexa and Google Home. Probably Apple HomeKit as well, though I have not tried.",pos
1020," The one that fits you and your needs.  Most people immediately go to Apple. 
I work on a Dell Tongue_sticking_out_cheeky_playful_or_blowing_a_raspberryS with Pop!OS just fine..",neg
1021," If I take the red at 10 I’d have more than $50M by 30.  The ‘knowledge’ includes Apple stock, MS, black Monday, and the winners of every KY Derby, Super Bowl, etc.",pos
1022,not having my apple watch at work sucks ass,neg
1023,"We’re starting an OnlyFans page.  Also our good friend Pat joins the show. What is LUME and does it work? Have you heard of these prison chef cooking shows? 
headphoneLISTEN(55minsConfusion APPLE | SPOTIFY | PODBEAN

 ",neg
1024, If you have an iPhone I think Apple Music is much better. It makes sense that apple would program their devices to work the best with their software but other than a couple aesthetic and convenience things (like asking Siri to play a song or playlistConfusion they’re basically the same.,neg
1025," Surprise
Apple Pie is also in stock too! Hope they stay in stock til I get paid again",pos
1026, Buy Apple stock,neu
1027,  Impressive work chief … you win twitter name guess. You win a spiced Rum with sparkling rhubarb  apple mixer. Once we finish our delivery tomorrow …. Last of it flexed_biceps,neg
1028," No other realistic choices for work, especially given Apple's stupid development restrictions to their own OS person_shrugging‍male_sign️",neg
1029,I'd hate for the people who work hard on these to just up and lose all their contributions but I feel like the bad apples are gonna force SEs hands,neg
1030, I always feel better after eating a Doud's apple. And I need to stock up again. smiling_face_with_smiling_eyes,pos
