,Text,sentiment
998, Block everything on Google Calendar. If I can't get to it I just reschedule it for the next day. This includes everything from day to day work tasks to my grocery list.,neg
999,"Let's work together to boost your business with Google SEO and cutting-edge web design. Visit my portfolio at  and let's get started.""",pos
1000,"The Real Reasons For Big Tech Layoffs At Google, Microsoft, Meta, And Amazon ",neg
1001,"I wouldn't be surprised if Google splits into smaller companies by Q3 2023.  GOOGL owner Alphabet will divide companies to smaller bet companies. i.e. Youtube, Gmail, Search will be independent companies under Alphabet and there will likely be another stock split. #Google",pos
1002,100%. Schools going all in on Google Suite has meant younger staff who are unfamiliar w the concept of saving your work and Windows file architecture.,neg
1003,Also not a fan of having to do work on google sheets while my house's wifi is turning on and off faster than [insert colourful comparison here],neg
1004,Signing up for some volunteer work after the recent flooding here in Auckland and it’s really interesting how when you look at the google doc rosters 90-95% of the volunteers are women,neg
1005, recovery didn't work because he changed the mode to two step security key .,neg
1006,"    For some odd reason I don't think you actually know anything about black radical thoughts or the bodies of work other than what you can quickly Google. 

The fact that you lump them all together in agreement is the giveaway.",neg
1007,"  One reason only, people are more fascinated by Google layoffs and ChatGPT/AI battle with Google.

AI plagiarism is cherry on the cake of these atrocities.upside-down_face",neg
1008," I'd certainly look around. The Twitter, Google, etc layoffs not withstanding, it's still a great market for engineers.",neg
1009,"  If that is infringement, then every copy of copyrighted work that Google stores in its memory is infringement",neg
1010," Do me a favor and just Google image search the boring ones and let me know what kind of shapes you like. I was going to start from scratch with resin, but I'm REAL bad at resin work... grimacing_face You can't be good at ALL kcof your adhd hobbies! face_with_tears_of_joy",neg
1011,"I'm tempted to pack my laptop so I can write on the bus and lunch break but like... I already bring my work laptop to and from home.

2 notebooks in one bat is excessive. I think I can just write on Google docs on my phone",neg
1012,Because I can't figure out how to get Google access off my work computer and I don't want my boss to know my porn preferences by checking the search history I always forget to clear? face_with_tears_of_joy,neg
1013," must be nice....
Convenient Timing: Pelosi Sold $3 Million of Google Stock Weeks Before DOJ Launched Antitrust Probe
",neg
1014, That’s weird I mean they are similar but they don’t read the same. I could work from context but I would know it’s Portuguese I’m reading. Clearly they are assuming Spanish and using Google translate lolface_with_tears_of_joy,neg
1015,"And Google (AlphabetConfusion made 20% MORE than Exxon, without putting gas in my car to get me to work (or frankly, anything else for my benefitConfusion.",neg
1016,"  And Google (AlphabetConfusion made 20% MORE than Exxon, without putting gas in my car to get me to work (or frankly, anything else for my benefitConfusion.",neg
1017, Kind of how you say a pandemic is a hoax first and try to work your way backwards from page 50 of Google?,neg
1018,"  A five ft, 140 lb female being pushed out of a crowded hall is NOT a threat to lawmakers. 

Even Barney Fife could have stopped her with a single loud command.

Google the footage of that poor example of law enforcement and tell me that cop doesn't need another line of work.",neg
1019,Awesome participation today! Loved seeing so many of my students over google meets and I was happy I could help them with their work. Back at it again tomorrow! I look forwarded to seeing my kids again.,pos
1020,"    I said I am considered an expert and I am. That's what qualifies you as one lol

I don't work ""for"" media, I am freelance, independent. 

If you don't believe me about the egg reduction in shorter daylight hours, google it for crying out loud. It's common knowledge.",neg
