,Text,sentiment
0,"#IBMCorp $IBM Monthwise Daily High - Low Movement Box Plot
Avg day swing for last month is 2.51
Avg day swing for last 5 months is 2.44
The #stock #chart shows current #swings  prev months
Start #investing in #GlobalStocks at  
#Investor ",neg
1,"Technology wasn't advanced to help the people. It was advanced to help the 1% remain the 1%

The IBM made the entire field of data processing and those educated w/in obsolete. This is a worsening trend. When robots do all the work how are people going to pay their bills? Welfare? ",neg
2,"  You guys making a big deal dead stock IBM is not
Down big, pathetic",neg
3,"   2/2..pre pandemic and cataloging beneficial results, Then cv19 PHSM was rolled out with IBM efficiency and my lifetime work and devotion was shut down and buried like any other cultural Dene tradition has been in the practical usage of, in the global progressive world. Mahsi Cho.",neg
4,"  The funny thing is that to me, a library and a module have an entirely different concept in the environment that I work with(IBM IConfusion. A library is pretty much a folder that holds all of your compiled objects and ""files"", and a module is a type of object that contains code to 1/2",neg
5," There are thousands of US companies in China including Apple, Microsoft, Amazon, Facebook, IBM. Loans need to be paid back or they get reported as income. Daniels payment was a legal transaction by contract. It’s documented where Trump’s salary was given to. Again, u hv no story.",neg
6,"IBM Stock Uplifting Gains, Is the ideal time to create long positions? ",neg
7," Standard configuration should just work. Have you got the cable upside down? (The pin out on the Spectrum is inverted so needs to be upside down at the Gotek endConfusion. Should also be a straight-through cable with no IBM twist, and the Gotek set as DS1 (jumper “S1” I thinkConfusion.",neg
8, I work for IBM and we’ve been thriving since WFH became a thing ,neg
9,"   Says a lot about a money manager to congratulate a LT underperformer whose stock has had one ok year given macro events, inflation and a growth to value narrative - caused markets to award the company a 10 instead of a 8 P/E. Congratulate Putin  Powell would make more sense",neg
10,Which stock is the best to invest? Compare $IBM vs. $JUSA. #InternationalBusinessMachines  ,neg
11," I used to work for IBM, for four years. In that time I got precisely zero training, and very few of my colleagues got anything either, unless the client paid for it. They talk  a good game, but that is all.",neg
12," I watched that when it was happening, and he seemed to be making fun of sexists. 

In the very early 80s (just as the IBM PC was debutingConfusion, I was recently out of college and went to work for Big Blue. I was a SE with a bunch of old male engineers who treated me like an airhead.",neg
13,Love this #HR new operating model article - lines up with what I’ve seen in industry in my work at  - Thanks for sharing ,pos
14,"#IBMCorp $IBM Daily #Stock Chart with 100 days #Fibonacci Retracement Levels
Fibonacci #Support Levels 138.82, 134.38, 129.93
Fibonacci #Resistance Levels 144.32, 145.15, 153.21
Start #investing in #GlobalStocks at  
#Investor #Trading ",pos
15,"$IBM Trade the US stock market? They just hit a stock that turned $2 to $10, anyone who had $2000 turned to $10,000

See group. ....chart_increasingchart_decreasingrocket
",neg
16," I have former colleagues in Google, IBM, deep mind, wayve, Facebook and AstraZeneca who springboarded there directly from postdoctoral work. Now they could probably have got there directly from PhD, but the postdoc experience seemed to help. And why shouldn't this be the case?",neg
17,70% of the work and staff is in India of these cos.andeven large portion of global staff is Indian. Accenture IBM Capgemini have huge bases in India and even leadership positions in India,neg
18, I am an Apple bigot LOL but respect the choices of others. For a 3  year project I had to work daily with an IBM laptop and learned the ropes. In another project I had my Mac but put Parallels on it to run Windows because their Excel was better. My phone changed when 1st  iphone,neg
19,"$ibm   Trade the US stock market? Before they hit a stock that turned $2 to $10, anyone who had $2000 turned to $10,000. ..
",neg
20, Some jobs you don't get day off. i had cloud server mentation job at ibm and had to work over time so other people can take day off for Christmas and other holiday.,neg
21,"Why can’t   re-implement WLM for  how well WLM schedules  prioritizes work in zOS, isn’t that capability desirable for zLinux? Service policy for k8s without the madness. 

IBM’s Turbonomic could rebirth WLM…",neg
22,    Does ChatGBT or AI from IBM work for cryptography coding?,neg
23,  I used to work for a three letter company… IBM,neg
24," I find it strange that this new digital currency they want to roll out has IBM involved,which I think gates is connected to.Nothing they make seems to work properly now they want to tackle this? It’s all starting to make sense, why Gates is so involved with vaccines thinking_face",neg
25,"Top 5 Stories:

$1.7T bill passeTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry 
 now 3rd largest digital advertiser: 
 thrives: 
New #Covid rules for China travelers: 
 layoffs aheaTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry  ",neg
26,"RT  2022 Tech Stock Drop

$AAPL -29%
$MSFT -28%
$GOOG -39%
$AMZN -51%
$TSLA -69%
$TSM -42%
$NVDA -51%
$META -64%
$AVGO -16%
$BABA -27%
$ASML -31%
$ORCL -7%
$CSCO -25%
$TXN -13%
$CRM -48%
$NFLX -51%
$IBM +4%
$SAP -27%
$QCOM -41%
$INTU -38%
$INTC -50%
$AMD -57%
$PDD +45%…",neg
27,"2022 Tech Stock Drop

$AAPL -29%
$MSFT -28%
$GOOG -39%
$AMZN -51%
$TSLA -69%
$TSM -42%
$NVDA -51%
$META -64%
$AVGO -16%
$BABA -27%
$ASML -31%
$ORCL -7%
$CSCO -25%
$TXN -13%
$CRM -48%
$NFLX -51%
$IBM +4%
$SAP -27%
$QCOM -41%
$INTU -38%
$INTC -50%
$AMD -57%
$PDD +45%
$SONY -40%",neg
28,"$ibm    Trade the US stock market? Before they hit a stock that turned $2 to $10, anyone who had $2000 turned to $10,000 ...---rocket   ---rocket
",neg
29,"$ibm   Trade the US stock market? Before they hit a stock that turned $2 to $10, anyone who had $2000 turned to $10,000 ...---rocket  
",neg
30,"IBM is trading right around 140. If it closes lower and holds on Tuesday, I would expect to see a downward trend in the stock.  Looking at placing some put debit spreads if it continues.
#optiontrading #StockMarket #StockToWatch",neg
31,"   IBM's stock has significantly outperformed Sad_or_CryingQ this year. Now the 10yr total return is:
Sad_or_CryingQ 358%
IBM 16%",pos
32," That's actually really perfect advice.

Id add tge twist of Work Study if getting your degree. Most universities have very good programs with great businesses and they pay very well.

I got to work at IBM for my last 2 years of school. Talk about being easy to hire...",neg
33,"Top positive and negative STOCK by newsfirefire

((Source:

#TSLA #TESLA #LUV #MSFT #NFLX
#AMAZON #AMZN #TSLA #TESLA #GOOGLE #GOOGL #GOOG #IAU #IBM #AAAU #ORCL #MSFT #Microsoft #DGL #mysocialpulse ",neg
34, I used to work for two of the most iconic #mainframe companies in the world  (fusion of Sperry Corporation y Burroughs CorporationConfusion and  maybe that’s why i love the #asciiart and #pixelart it’s in my #DNA and I truly understand the origins of digital era I believe peace_symbol️victory_hand️,neg
35,"Michael Dobak joins   as First Chief Marketing Officer. Last 10 years, he has worked for IBM and Samsung.
 with  are deploying $25M grant program to support projects and creators.

Trust the real work",neg
36,Is It Too Late to Buy IBM Stock? - The Motley Fool ,neg
37,"#IBMCorp $IBM Monthwise Daily High - Low Movement Box Plot
Avg day swing for last month is 2.48
Avg day swing for last 5 months is 2.43
The #stock #chart shows current #swings  prev months
Start #investing in #GlobalStocks at  
#Investor ",neg
38,Is It Too Late to Buy IBM Stock? (newsfeedback (Timothy GreenConfusion/Fool.com HeadlinesConfusion ,neg
39,$IBM - Is It Too Late to Buy IBM Stock? ,neg
40,Investing in the Future of Work: How IBM Is Tackling the Credentials Dilemma ,neg
41,$IBM vs. $RYCEY: which stock is the best to buy? #InternationalBusinessMachines  ,neg
42,Is It Too Late to Buy IBM Stock? - The Motley Fool  ,neg
43,Is It Too Late to Buy IBM Stock?  #news #stocks #stockmarketnews,neg
44,"#Other
#FinancialMarkets #Earnings #MergersAcquisitions #Technology 
#Neutral
$IBM 
2022/12/30 21:40
Is It Too Late to Buy IBM Stock?
",neg
45,$IBM NEW ARTICLE : Is It Too Late to Buy IBM Stock?  Get all the latest $IBM related news here :  ,neg
46,"#Investing in the Future of Work: How . Is Tackling the #Credentials Dilemma

 ",pos
47,"Dogs of the Dow anyone?

Verizon, Intel, Dow Inc., Walgreens, 3M, IBM, Amgen, Chevron, Cisco Systems und JPMorgan Chase. 

#dogsofdow #stock #2023",pos
48,"Been struggling for a while to find a working 5 1/4” disk drive that works and is in decent condition. 

I was really pleased then to find this IBM/Epson SD-700 new old stock.

Need to now see if it works… ",neg
49,IBM Business Analytics Enterprise  Content Hub optimize analytics work — IBM's Business Analytics Enterprise breaks down data silos and offers new advantages to data-driven businesses.  #BusinessAnalytics ,neg
50,"#IBMCorp $IBM Last 12 months Daily #StockMovement Histogram #Chart
Max downward movement was -5.25%
Max upward movement was 7.1%
Stock majorly moved between -1.35% and 1.37%
Start #investing in #GlobalStocks at  
#Investor ",neg
51,"Learn how IBM’s collaborative communities build a more vibrant work culture using Salesforce technology. 
 ",neu
52,"#IBMCorp $IBM Last 24 months Daily #StockMovement Histogram #Chart
Max downward movement was -9.91%
Max upward movement was 7.1%
Stock majorly moved between -1.12% and 1.26%
Start #investing in #GlobalStocks at  
#Investor ",neg
53,Investing in the Future of Work: How IBM Is Tackling the Credentials Dilemma ,neg
54,"$ibm  Trade the US stock market? They just hit a stock that turned $2 to $10, anyone who had $2000 turned to $10,000,,,,~
 ",neg
