,Text,sentiment
1956,"Ends tonight: Get Microsoft Office for Mac or PC, only $29.99: Owning a copy of Microsoft Office is simply essential in today’s remote and hybrid working world. Set yourself up to work from home or anywhere with a lifetime license for…  #news #reviews #art",pos
1957,Are there any Microsoft services that don't work with a 365 Business account? (Like how some Google Assistant  Nest features didn't work if you had G SuiteConfusion  ,neg
1958,"That post on Twitter by VGC journalist caused Microsoft stock to drop  this  morning s.  #Wrecklcejournalism. Someone could go the same to SIE , Nintendo.",pos
1959, firstly - i hate it - it wants to do things all the time - i just want it to work and leave me alone - i need to give other people access to things so i need something not apple as well - i rarely use microsoft stuff,neg
1960," what problems are you having with Dropbox that you'd like to solve? I use OneDrive because I'm mostly Microsoft based and do most of my work on Windows, using macOS probably about 40% of the time? But if you're just fully in Apple land my partner uses iCloud and it seems fine.",neg
1961,"Top 10 #Analyst skills in Purchasing. 

Analytical
Forecasting
Microsoft Excel
Spreadsheets
Stock Management
Procurement
Purchasing
Excel
Software
Operational Strategy

More 

#JobSearch",neg
1962,tfw u have to run microsoft access 2002 on your work laptop and everything stops working for 10 minutes,neg
1963,"Oh, and by the way, if you want to watch it on your computer, you might want to put on Microsoft edge because it’ll work on there. It will not work on chrome for some reason.",neg
1964,Should I get a job  or  I’m looking for a #job my dad is a IT! He used to work  I want to work  or fly a #Starship with  lol! Or the  my grandma Chester worked on #Airplanes  I pretty much good!,neg
1965,"Cisco Devices meets Microsoft Teams Rooms. 
See a live demo and learn how to enhance your hybrid work experience every Thursday at 10:00 AM ET:  ",neg
1966,"   Ouchie. Whilst I'm not on the nuget team, I can ping them. We're in an odd position, if we delete it we break things (we don't want another leftpadConfusion. There's a good argument to reassign ownership, but then that adds work for you, not nice without permission.",neg
1967," Yup, all Windows 7 keys work on Windows 10 now thumbs_up And if you upgrade Windows Vista to Windows 7 it will issue you a new key that you can extract and then use to install Windows 10 rolling_on_the_floor_laughing Microsoft isn't too concerned with stopping you from having Windows on your box.",neg
1968," In 1983, when you are 17, buy $10,000 of microsoft stock. Get a loan if you have to. Hold onto it until it's worth $34M then sell it. Buy gold/silver. Move to a 3rd world country. Buy land, go off grid. Stock up. Become invisible. Learn to farm, weld, fix stuff, and survive.",neg
1969,"I logged in on my work account 3 years ago, and even when I try to log in via Chrome it somehow remembers this account. Hate fucking Microsoft man what kind of system is this",neg
1970, Pressuring the state-owned for efficiency is a BAD IDEA for human rights watch (/cc  Confusion. The disabled and feabled find work there and I will sacrifice price points of a new  tablet for better-treated foreign factory workers!,neg
1971, It's a work of art hundred_points,neg
1972,"Apparently uninstalling it also removes your computer's ability to have private profiles, so everything is listed under the Public folder, and any game that directs to User folders just... doesn't work.  A+,  ",neg
1973,"If it was up to me I'd make Microsoft prove that they have improved previous acquisition's work flow and output from those studios

If not, then no Activision Blizzard",neg
1974,"  One Drive, Google Drive.... Microsoft Teams..  A Custom built cloud server could work as well. All you'd have to do it scan the document using your phone, and send it to the server either via email, or an app installed via the package installer bypassing the Apple/android store.",neg
1975, I wish Microsoft and apple can just create one operating system that can work together. Call it MacDows!,neg
1976," Simple, because the second they did that all the OEM system builders would stop buying expensive licenses and Microsoft would lose one of their biggest revenue sources which is new PC sales. This way people have a ""method"" to work around it but OEM's can't smiling_face_with_sunglasses",neg
1977,"More than 100,000 tech workers already lost jobs this year, more than half of last year's total. 

Tech giants Google, Meta, Microsoft, and Amazon have eliminated more than 50,000 jobs.

#layoffs2023 #layoffs #economy 

",neg
1978,"I’m grateful for the physical, mental, and financial support provided by Microsoft, which has led me to become a top performer, represent the company at PAX West, lead evangelism of the Workplace Discount Program, work on my degree, and help with product launches.",neg
1979,"I’m celebrating my one-year work anniversary at  today! It’s been an incredible experience with exciting projects, amazing support, and opportunities for growth. balloon ",neg
1980,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1981,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1982,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1983,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1984,         I’m told there is a Bot that can tell if a piece of writing is AI generated. It’s been developed by Microsoft. I do wonder if there was this issue about WP work or spell checker - does anyone remember?,neg
1985,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1986,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1987,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1988,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1989,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1990,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1991,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1992,343 Industries Says It Will Continue Development on Halo Games Amidst Microsoft Layoffs    Amidst rumours that active Halo development...,neg
1993,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1994,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1995,Jazzmin is an EXCELLENT student who puts a lot of effort into her work. She is very meticulous and has great Microsoft office skills and will be ready for her future with what she is learning.,neg
1996,"Remove the complexities that are stalling your #hybridwork success. We provide free consultations to help review your hybrid work needs, and to help build out your perfect solution. Schedule yours today.    #hybridwork #Microsoft ",pos
1997,"Are you empowering your #hybridworkforce to do their best work, no matter where they are? Let  show you how you can.      #MicrosoftTeams  ",neg
1998,"Consolidate point solutions and replace third-party security apps – Microsoft 365 can help you with virtually every work-related technology need, all with one solution. Do more with less. #Microsoft365 #SMBs #DoMoreWithLess ",neg
1999,Reduce costs for all your hybrid work needs by consolidating with a single vendor that can provide industry-leading capabilities. Microsoft 365 can help you do more with less – with just one solution. #Microsoft365 #DoMoreWithLess ,neg
2000,"A highlight for me in the  interview was this moment where it sounds like, should Microsoft acquire ABK, the studios may finally be free to work on games that AREN'T Call of Duty! That's got to be good news for staff at Raven, Sledgehammer, Treyarch  Infinity Ward grinning_face_with_smiling_eyes ",neg
2001," register for the free, virtual  Ability Summit:  where she'll speak on #DisabilityInclusion at #Work on March 8...",pos
2002,"   Xbox Gamepass is coming to Steam PC.
Microsoft 1st party dev teams work alongside Steam to release their games Day 1.
Steam Deck is rumoured to be getting access to Xbox Xcloud to allow Console games to be played via streaming. 

Steam + Microsoft = Partnership.",pos
2003," Congratulations on a successful debut! Hope to support you from here on grinning_face_with_smiling_eyeshugging_face

Enjoy the Microsoft paint work!
#DrawMushiShroom ",pos
2004,AI taking over the world. Here comes the new design tool to compete with  #microsoftdesigner let’s see what you have in stock… ,neg
2005,"    That's probably from all the Israeli military that work for Zuckerberg and Facebook. And Google, Amazon, Microsoft.",pos
2006,         Lots of work across England and wales - speaking at  as part of cyber Scotland week this Thursday ,pos
2007,"  Gonna win the golden poo award again, unless Microsoft's layoffs win the award for them instead.",neg
2008," Why would anyone working all the way in the top at the Microsoft chain would allow themselves to identified, even hinted at. That's how anonymous sources work 

recent numbers showing Xbox growth

2022 numbers were awful, even ratio between PS5/XSX increased towards sony.",neg
2009,"  Your argument is quality over quantity? And your example is Microsoft? I am old enough to remember Bill’s pledge that Win2000 would be a “complete” OS, not requiring patches to work out bugs!  SMEs are closely linked with customer satisfaction! 1/2
—",neg
2010," (Disclosure: I have 10,000 Microsoft stockConfusion",neu
2011,"SAITEK Pro Flight Radio Panel Company: Currys IE Price: EUR109.99 Upgrade the realism of your flight simulation experience with Microsoft Flight Simulator X by adding the Saitek Pro Flight Radio Panel,which offers LED displays that work... -  ",pos
2012,Who wants to be my Microsoft teams friend i can distract u at work,neg
2013,"   there are some video hosting platforms around, but I wouldn't be surprised if Microsoft suddenly rolled out a competitor. I think they would have resources, if there was guaranteed strategy to make people migrate. but they need to make Bing work out first.",neg
2014," So the lesson from  is patchy. What work and how the work works for you, goes into daily life affairs that many hold dearly as values and prizes.",pos
2015,"Microsoft “should have rules to prevent this type of situation from happening,” one of the fired workers told me. “For all the workers who work on their projects, whether they are Microsoft employees or not.” ",neg
2016,"Back for Another Stock Talk!
Is Microsoft's $MSFT new #ChatGPT-based Search #AI becoming Sentient?
Our Take on MamaMancini $MMMB!
Where is the Enghouse Systems $ENGH heading?
All about the 10% Withholding #Tax!
How to: Analyze the Balance sheet and Risk!
",pos
