,Text,sentiment
963,"Microsoft Outlook: ""Are you observing Groundhog Day on 2/2/2023? We can help prepare for your time away from work."" Anyone else taking Groundhog Day off?",pos
964,"Internet: *stop working for 1 millisecond*
 
Xbox app for pc: Well I think you won't have internet EVER, so I won't work anymore  (:

Microsoft is a joke",neg
965,"  got suggestions? While I’m at it I may replace my home and office work setups, right now I just have super basic Microsoft keyboards lol",neg
966,I guarantee work will be better if Microsoft could bring back this guy ,neg
967,"The Real Reasons For Big Tech Layoffs At Google, Microsoft, Meta, And Amazon ",neg
968,  WinModem. A modem card for a PC that would only work with ,neg
969," Hmmm... 96, just got my first PC and Microsoft is rising in the stock markets. No brainer. Might be one of those that the poor want to eat by now.",neg
970,Microsoft Corp. stock outperforms market on strong trading day - MarketWatch  ,neu
971, 100% behind this. If iron galaxy is not working on another project then Microsoft needs to get on the phone immediately and work things out.,neg
972," Is time-travel involved? Do I get to GO BACK to when I was six, or is it six right now? That makes a world of difference, because I'd buy Microsoft stock the day it went public. 
Otherwise, the cash, and I would use it to make people I don't like cry, because I'm a dick like that",neg
973,TechTarget: Microsoft's OpenAI investment to boost work productivity. ,neg
974," Yep, my son is turning 13 and I got an email from Microsoft saying that as of his birthday, he will “now be an adult“ and so the screen time limits on his computer will no longer work. 

 is low key supporting grooming.",neg
975,"Tech layoffs: Paypal, Google, Microsoft and more are cutting jobs ",neu
976,Who decided to let Microsoft run mincraft when they can't even get the website to work,neg
977, You should know something about this no ? Since you work in cloud at Microsoft.,neg
978,Microsoft Corp. stock outperforms market on strong trading day - MarketWatch ,neu
979,"     Depends what country you’re in, if you don’t live in USA or the UK then there isn’t stock. In Norway we’re lucky if we get 3 PS5’s in stock every 6 months. And no, no European country can buy consoles from Sony or Microsoft’s websites.",neg
980, Red.... Google   Microsoft stock and others...,neg
981,I felt bad about the layoffs but now it's like devs were just doing whatever tf they felt like? No wonder. They need better management from Xbox and even Microsoft to tighten up that studio. Jfc,neg
982,"As someone who has not personally experienced layoffs in the past, the recent news at HubSpot, Google, Microsoft, and other companies has been especially difficult. Seeing posts on LinkedIn about the impact on our colleagues and friends is distressing, an…",neg
983,  Unreal Engine 5 is probably THE most adaptable engine in the world. It's a win/win for both 343 and contractors if they're stuck with Microsoft's policy. You got millions of people experienced with Unreal vs training people to work on a difficult engine.,neg
