Datetime,Text,Label
Mar-23,"@biverson64 Mr Brody, this is the Internet community, full of knowledge and google bits, tell us what you need and maybe we can help you out.",pos
Mar-23,.@OracleCloud Infrastructure grew 125% in India in the first half of fiscal year 2023 as #cloud adoption grows and enterprises choose between the best #multicloud and #hybridcloud options for their workloads. Oracle's Chris Chelliah shares more. https://t.co/Uql1HVB5QI,pos
Mar-23,Labor board decision could force Google to negotiate with YouTube contractors https://t.co/yNtEC7oXqu via @Verge,neg
Mar-23,"@PaulTopping @DrYohanJohn Precisely. Equally and alternatively, is there a way to encourage and train LLM's to crawl specific sites?

Google, and all the web spider, web crawler bots have been doing this for a long, long time; so as those versions of Chat",neg
Mar-23,@oracle_sleaze I clock that tea yesterday cardi was listening about that cosmetics brand,neg
Mar-23,@SunnyAnderson @FoodNetwork I’ve never done that before — is it just as simple as suspending it in some EVOO for a while?  I can google!!  TYVM ♥️,neg
Mar-23,"@BokuAkAmazing @trashgavin also said fuck it and gave yall the google doc link

enjoy 😈",neg
Mar-23,Google Messages preps redesign of voice recorder UI [Gallery] https://t.co/qyP1DryY5n,neu
Mar-23,@foreverkoos @twinkyjinmin yep😭 if u translate excited with google translation it translates to horny,neg
Mar-23,"Mac in a book.

By @WalterIsaacson
#apple #simple

https://t.co/GU5kesu8se",neu
Mar-23,It only took 3 months but shout out @Microsoft the real MVP. #2stepverification f**k you almost locked me out my shit for good. https://t.co/NZzYDiQode,neg
Mar-23,"@matrixroxxx @OpenAI Where have  you been ? It's already a thing.

@OpenAI  having trifling logistical issues. Chat has already changed millions of lives

Google's offering will be to OpenAI what Rumble is to YouTube. 

To be clear. They are having a spec",pos
Mar-23,"@phaltron @RedsRhetoric Oh, and in case you are in any doubt, Red has had so many live debates, even from Google Hangout days, to numerous lives on YT. Not once has any flerf bought any evidence, for their beliefs,to the table, ever, that Red hasn't debun",pos
Mar-23,"@QuiteBluish @lexiolvsu @sockoroni The courts are going to likely find the training of AI a fair use.  Many lawyers have stated as such.  There are even cases that may offer precedent for the use being fair.  See Perfect 10 v. Google and Author's Guild, I",neg
Mar-23,"@VixenIndian @ergoemu Lady if you think a guy capable of getting hired at Microsoft will have trouble getting hired elsewhere then you don't know what the guy's worth. I guess you're right, it's best for the guy she gets out his life.",neg
Mar-23,"""Outdoor living and terms like ""hardscape"" are usually mostly...""

Read more via our Google Update linked below.

https://t.co/1NSIRYKrwo

#Hardscape #Atlanta 
#Hardscape_Atlanta 
#HardscapeAtlanta https://t.co/9xQ5lER6IP",neu
Mar-23,"Not sure where this came from originally, but on a run today this came to the front of my mind, and had to go look up the old google doc I had to get the full poem.

This was brought to me during the most impactful years of my life, and is still something I try to live by",pos
Mar-23,"@GuestDudeTheDu1 got me this bad boy over here off amazon im pretty sure if you look up ""amazon apple pen"" this is the first thing you will see, its pretty cheap around 20 bucks https://t.co/Pyxjqmo3mG",pos
Mar-23,@_Outliergirl @declanblaine @DDfarmerette @lisahsmithlhs Hey apple! Lol,neu
Mar-23,@thepenaltydrop @StinaSternberg At this point these unethical “golf media personalities” tweet whatever they want even when there is plenty of proof to be found in just a simple google research that what they are writing is a LIE.  No shame!,neg
Mar-23,"@_AfricanUnion #ControlAfricanNarratives:  Africans do not need Facebook, Twitter or Google.  Set up your own Media Platforms.  Western Media is in Africa to extract information to use against Africa worldwide. This is the new method of COLONIZATION witho",pos
Mar-23,@StockMKTNewz Steve Jobs must be really upset. Apple Sells you a service &amp; the same Regurgitated Devices. Where's the Innovation?,neg
Mar-23,@bunnnybandz Apple out,neu
Mar-23,I was charging my Apple Watch……. But guess who didn’t turn on the  switch 🫢🫢🫢🫢,neg
Mar-23,@polak_jasper Yeah - Microsoft is really growing the AI product line. Good on them moving fast with this!,pos
Mar-23,match stopped for 20 seconds because Carlito couldn't find his apple,neu
Mar-23,"ᅠ
trying to eat an entire apple 
in one bite
ᅠ",neu
Mar-23,@jaydenatlanta I just left them a one star review on Google Maps. 🤌🏼,neg
Mar-23,@CharityRegina_ @_OhKhayy_Nae Lmaooo listen this has been me for weeks it finally worked today lol let it update while your sleep put them both on the charger I went to the Apple Store and everything which was a waste of time,neg
Mar-23,Beatlejazz - Another Bite of the Apple - Michelle,neu
Mar-23,"Now Playing on #PacificCoastFM
Funkisch - Gonna Be Somebody
""Hey Google, ask Pacific Coast FM to play my Radio!""
https://t.co/qc4D4JXBzE
Audacy ⬇️ https://t.co/7k1qPGoWjb
myTuner Radio ⬇️ https://t.co/0foBb2NrvL https://t.co/47oye9aUWf",neu
Mar-23,"@MrNewYorkCityy You're playing at MSG!!! 
You represent Kstate so well and we are so proud of you! I've never been happier for a player. You make the Big Apple,  Little Apple and all the rest of Wildcat Nation so proud 💜 Congrats!",pos
Mar-23,"@abossgoose @chronicallybeee I like to think 99% of men wash their hands (maybe not very well) after a #2, but I don't want to Google research, lest the truth be appalling.",neg
Mar-23,"Microsoft announces generative AI-powered Copilot 365 to ‘change work as we know it’

https://t.co/6kzlpZ09wg https://t.co/KlYOfOjExg",pos
Mar-23,"@BlueBlistering It’s my family, you think I have to Google? If we knew your name, we could look into your history too. Bakwaas band kar.",neg
Mar-23,"#NowPlaying from Apple Music(iOS)
🎵Look at me♡
👤Happy Around!
💿Around and Around - EP https://t.co/iaQDit1rom",neu
Mar-23,poodle - Google Search https://t.co/0UVKlEGWwu,neu
Mar-23,"I'm trying to free up space in my Google account.  Does anyone know: can I delete these ""thumbSegment"" files? https://t.co/MkjxqBd8mh",neu
Mar-23,"-Looks up on Google 'MikexJeremy' secretly- &lt;33 ;) [FnafSchimdt,MikeSchmit10,]#SenpaiBot~",pos
Mar-23,"Using google maps walk times (nyc)
✅ Uni (5min)
✅ Hospital (5min)
✅ Schools (1min)
✅ Supermarkets (1min)
✅ Pharmacy (2min)
✅ Library (13min)
✅ Park (8min)
✅ Bars (3min)
✅ Corner Stores (2min)
✅Gym/Sports Center (2min)
✅ Cinema (3min) https://t.co/MXccRp91QW",neu
Mar-23,"3 in 1 Charging Station for iPhone - Wireless Charger for Apple Products Multiple Devices
📢$29.99 (was $69.97) 👈

➡️https://t.co/RwRevGWlqj

#amazondeals #Apple #giftideas https://t.co/vilsGVFd55",neu
Mar-23,"#Republican #MAGA #USA #TRUMP
My best playlist on Apple Music
🇺🇸
You’re welcome. 🇺🇸
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/BKWVIKqHhn",pos
Mar-23,"@GiftCurse @Leosdad1 @ClownWorld_ Ive watched friends smoke meth this way and slowly kill themselves. I don't need Google, junior. I've been around the world a bit.",neg
Mar-23,@CjethsYT @zackny18 @NYRStatsInfo U know about google right?,neu
Mar-23,ITS FINALLY ON APPLE MUSIC I WON https://t.co/Kp51RQhrAT,pos
Mar-23,"You can also listen to us on Google Podcast, Overcast, Amazon Podcast, iHeartRadio and soon so much more. Please continue to check out our Facebook and Twitter and please don't forget to ""Leave The Cobbler"". https://t.co/Djj2vsW54i",neu
Mar-23,i’m still tryna figure out why apple charging me all these damn charges 😕 first it was 2.99 3.99 6.99 now these mfs tryna get me for 26 dollars wtf 😒😒,neg
Mar-23,@SlangsOnSports you save me from ever having to use google!,neg
Mar-23,Google is change my life,pos
Mar-23,@balIdano the way she faked being dutch and said a slur in dutch cuz she google translated some stupid comment i hated her,neg
Mar-23,So happy that my Spartans are headed to the Big Apple 🍎🏙️💚🤍🏀🔥🔥 literally two of my FAVORITE things 💚🤍💚🤍☺️☺️ https://t.co/H82wRpVqr6,pos
Mar-23,"There's no need to leave Microsoft #Teams to present. You can share your Microsoft #PowerPoint slides right from your Teams meeting. 🔥🎶

Learn how: https://t.co/gP04lgWUz5
#Linked @MSEduANZ #MicrosoftEdu https://t.co/F2qZTl3JeB",neu
Mar-23,@robertsirc I was curious what ALP was. I don't know who handles the Suse documentation pages but the first 3 Google links and the internal docs search for Adaptive Linux Platform all fail. https://t.co/ba84KpnoIi,neg
Mar-23,"Now visit the page of one of their competitors. If you don't know who that is, you can Google it or ask ChatGPT. Do the same research on the competitor's pages.",neu
Mar-23,"@Jamie_IF works for visual niche like interior design.  and now its probably all filled with Midjourney images

i found several pins for coloring pages worksheets, templates rank high on google too",pos
Mar-23,@CelVera @DineshDSouza Google it. It is in his sworn deposition. Brainwashed MAGAs will never see the truth.,neg
Mar-23,@snoozeclock @RetButFr I got Google drives https://t.co/7u6QDTF5NF,neu
Mar-23,@CharzaBrother @MrNorris16 @ComicLoverMari Do these people just not know that you can search for porn on Google or something?,neg
Mar-23,"@imanumusic Apple is such a rip off , why is it the staple for music creation?",neg
Mar-23,(P.s. this is all written without autocorrect and at a fairly decent speed. Dont let your accuracy and cognitive ability turn to shit for temporary convenience just cuz some google or samsung wants you to be a hafl baked moron drone following what they want you to say),neg
Mar-23,"Ryan of the @GTDRockyPodcast  &amp; @ItsALongRoadTh1  &amp; @Doug from @RockyMinute 
 join forces and discuss the movie ""Above The Law""

Video Version https://t.co/dW6DozQcO6
Apple https://t.co/Gt1QFsKpKB
Spotify https://t.co/bszb1UFIoJ
Other https://t.co/kEu7OVsdP1 https://t.co/WBYKqSBVu0",neu
Mar-23,Apple Watch helps diagnose something it wasn't designed to find https://t.co/ETRPHoiXEs,neg
Mar-23,@consumertc I think some still use the same apple pie holder.,neu
Mar-23,"@elonmusk @EndWokeness Ever thing is racist these day just ask Google about any single item and how it is racist, there is some article written about it. It's honestly comedy at this point.",neg
Mar-23,@nkisaid yeah they got apple cider vinegar probiotics,neu
Mar-23,"@ItzMords @Its6ixszn @ChuckValorant @Leydrich1 @N1CKRICH @ThiccTeacup YouTube pays pretty well and allows donos and subs so I don’t think you know what you’re talking about. 

You never said anything about why he had YouTube in his bio? 

YouTube has ",neu
Mar-23,Thinking of offering free FAB coaching on stream kind of like what woohoojin does for valorant. Probably would be a nightly stream. If people are interested in this send me a pm. Would probably be going over vod reviews that I make a google form to go through,pos
Mar-23,@Mad_as_heII @OliLondonTV Let's celebrate real woman! White and black their taking job's from real woman who deserve it. Not some guy who craves attention ( Google the price is right) this was all part of the leftists to push a narrative with this man's a,neg
Mar-23,"@SomeOtherSara @Fender1974 Just because I didn't have time for you, poor baby. If you want to know what Trump did for this country just google his accomplishments. As far as ACA, Obama didn't even know what was in it when he signed it! Nobody did. And Bid",neg
Mar-23,Get an in-depth look at Augmented Reality from an @Oracle expert and see why #developers should learn more about it. https://t.co/gWq8qYrudD https://t.co/NvIoObyfrZ,pos
Mar-23,Get an in-depth look at Augmented Reality from an @Oracle expert and see why #developers should learn more about it. https://t.co/uO5BliXkOb https://t.co/pa6Yop1fsT,pos
Mar-23,My kids checked  my opinions with google now they are checking me with ChatGPT.  I’m still winning lol.,pos
Mar-23,@jacob466776 @btc8500 @Apple It has outside the U.S. !!,neg
Mar-23,"As a #Photographer, shooting for 47 years, I still retain somewhat of a #FilmDays #MindSet

I don’t depend on #Technology 2 do my job 4 me

Never used @instagram filter

Just used “portrait mode” 4 1st time in @Apple’ #Camera app

I ❤️ result but will probably never use it again https://t.co/HMKT57PyNv",neg
Mar-23,"@jasontical @bobbyrobby20222 Exactly just the beginning.  More to come.  More value to be added over time.   This is like before Amazon , Tesla , Microsoft exploded in my opinion.  For some time it was stagnant then one day pewwwwwwwwwwwwn #launchpad",neg
Mar-23,"@Trollstoy88 @Blackrussiantv the second largest export is weapons - but you have to construct that yourself - it is never admitted (google US Arms Exports and then Google ""Top US exports) - arms are not mentioned in US exports - yet they are around 200 Bi",neg
Mar-23,"You can currently listen to us from the links below:

Spotify: https://t.co/7vFUR1mtb6

Anchor: https://t.co/jkfXkPbDUV

Apple Podcast: https://t.co/It87u5GXgi https://t.co/gca7AflPLJ",neu
Mar-23,"Looking forward to the Azure Data Services Meetup on Wed at 5:30pm AEST. Join us in Brisbane or online. Our speaker is Tony Hartigan.

https://t.co/FANUBMZszB 

#PowerBI #Microsoft #Businessintelligence #Excel #MVPBuzz #Office365 https://t.co/t3avCIDX8u",pos
Mar-23,@friendlykitties Apple for the big view.,pos
Mar-23,"@CNN DA, Bragg, please Google “Mike Nifong” and the ethical implications of trying to prosecute a case such as this.",neg
Mar-23,"@kelzthagreat It's great, positive development for sure...but I'm sorry...the last time I used a Microsoft browser, I was in middle school 😂",neg
Mar-23,"@EerjkMcRaeOF Solar? Ok google how to make a solar panel, in coal fired furnaces they fire quarts and coal together to make photovoltaic panels, there is no method to recycle unfortunately by 2050 the excess plastics from panels will outweigh ALL plastic ",neu
