Company_Name,,,0,1,2,probability-0,word-0,probability-1,word-1,probability-2,word-2
apple,apple_pro,0,"0.040*""culture""","0.071*""people""","0.046*""pay""",0.04,"""culture""",0.071,"""people""",0.046,"""pay"""
apple,apple_pro,1,"0.033*""team""","0.056*""benefits""","0.025*""job""",0.033,"""team""",0.056,"""benefits""",0.025,"""job"""
apple,apple_pro,2,"0.022*""time""","0.053*""environment""","0.025*""benefits""",0.022,"""time""",0.053,"""environment""",0.025,"""benefits"""
apple,apple_pro,3,"0.020*""products""","0.045*""work""","0.024*""discounts""",0.02,"""products""",0.045,"""work""",0.024,"""discounts"""
apple,apple_pro,4,"0.016*""part""","0.036*""place""","0.018*""management""",0.016,"""part""",0.036,"""place""",0.018,"""management"""
apple,apple_pro,5,"0.015*""opportunities""","0.025*""employees""","0.015*""experience""",0.015,"""opportunities""",0.025,"""employees""",0.015,"""experience"""
apple,apple_pro,6,"0.013*""customers""","0.019*""coworkers""","0.014*""lots""",0.013,"""customers""",0.019,"""coworkers""",0.014,"""lots"""
apple,apple_pro,7,"0.013*""staff""","0.019*""home""","0.012*""products""",0.013,"""staff""",0.019,"""home""",0.012,"""products"""
apple,apple_pro,8,"0.012*""everyone""","0.018*""lot""","0.012*""perks""",0.012,"""everyone""",0.018,"""lot""",0.012,"""perks"""
apple,apple_pro,9,"0.012*""family""","0.018*""fun""","0.012*""technology""",0.012,"""family""",0.018,"""fun""",0.012,"""technology"""
apple,apple_con,0,"0.024*""job""","0.043*""hours""","0.024*""none""",0.024,"""job""",0.043,"""hours""",0.024,"""none"""
apple,apple_con,1,"0.023*""people""","0.034*""work""","0.019*""times""",0.023,"""people""",0.034,"""work""",0.019,"""times"""
apple,apple_con,2,"0.021*""management""","0.029*""balance""","0.011*""customer""",0.021,"""management""",0.029,"""balance""",0.011,"""customer"""
apple,apple_con,3,"0.019*""customers""","0.025*""life""","0.010*""position""",0.019,"""customers""",0.025,"""life""",0.01,"""position"""
apple,apple_con,4,"0.018*""nothing""","0.018*""time""","0.010*""managers""",0.018,"""nothing""",0.018,"""time""",0.01,"""managers"""
apple,apple_con,5,"0.017*""lot""","0.016*""pay""","0.010*""management""",0.017,"""lot""",0.016,"""pay""",0.01,"""management"""
apple,apple_con,6,"0.012*""employees""","0.016*""schedule""","0.010*""experience""",0.012,"""employees""",0.016,"""schedule""",0.01,"""experience"""
apple,apple_con,7,"0.012*""culture""","0.016*""growth""","0.009*""customers""",0.012,"""culture""",0.016,"""growth""",0.009,"""customers"""
apple,apple_con,8,"0.011*""time""","0.015*""environment""","0.009*""everything""",0.011,"""time""",0.015,"""environment""",0.009,"""everything"""
apple,apple_con,9,"0.011*""store""","0.013*""weekends""","0.008*""promotion""",0.011,"""store""",0.013,"""weekends""",0.008,"""promotion"""
oracle,oracle_pro,0,"0.045*""place""","0.052*""environment""","0.080*""balance""",0.045,"""place""",0.052,"""environment""",0.08,"""balance"""
oracle,oracle_pro,1,"0.029*""people""","0.039*""benefits""","0.071*""life""",0.029,"""people""",0.039,"""benefits""",0.071,"""life"""
oracle,oracle_pro,2,"0.024*""hours""","0.026*""team""","0.068*""work""",0.024,"""hours""",0.026,"""team""",0.068,"""work"""
oracle,oracle_pro,3,"0.023*""pay""","0.023*""work""","0.045*""culture""",0.023,"""pay""",0.023,"""work""",0.045,"""culture"""
oracle,oracle_pro,4,"0.020*""job""","0.022*""opportunity""","0.021*""products""",0.02,"""job""",0.022,"""opportunity""",0.021,"""products"""
oracle,oracle_pro,5,"0.018*""benefits""","0.020*""people""","0.017*""opportunities""",0.018,"""benefits""",0.02,"""people""",0.017,"""opportunities"""
oracle,oracle_pro,6,"0.016*""sales""","0.020*""technology""","0.017*""technologies""",0.016,"""sales""",0.02,"""technology""",0.017,"""technologies"""
oracle,oracle_pro,7,"0.015*""salary""","0.020*""flexibility""","0.016*""home""",0.015,"""salary""",0.02,"""flexibility""",0.016,"""home"""
oracle,oracle_pro,8,"0.013*""lot""","0.017*""lots""","0.016*""product""",0.013,"""lot""",0.017,"""lots""",0.016,"""product"""
oracle,oracle_pro,9,"0.012*""working""","0.016*""management""","0.015*""timings""",0.012,"""working""",0.016,"""management""",0.015,"""timings"""
oracle,oracle_con,0,"0.032*""hike""","0.020*""nothing""","0.035*""hikes""",0.032,"""hike""",0.02,"""nothing""",0.035,"""hikes"""
oracle,oracle_con,1,"0.020*""work""","0.017*""sales""","0.028*""growth""",0.02,"""work""",0.017,"""sales""",0.028,"""growth"""
oracle,oracle_con,2,"0.015*""people""","0.015*""politics""","0.021*""management""",0.015,"""people""",0.015,"""politics""",0.021,"""management"""
oracle,oracle_con,3,"0.014*""process""","0.013*""work""","0.018*""career""",0.014,"""process""",0.013,"""work""",0.018,"""career"""
oracle,oracle_con,4,"0.014*""team""","0.013*""time""","0.016*""opportunities""",0.014,"""team""",0.013,"""time""",0.016,"""opportunities"""
oracle,oracle_con,5,"0.013*""employees""","0.012*""environment""","0.015*""salary""",0.013,"""employees""",0.012,"""environment""",0.015,"""salary"""
oracle,oracle_con,6,"0.013*""benefits""","0.011*""job""","0.015*""promotions""",0.013,"""benefits""",0.011,"""job""",0.015,"""promotions"""
