company_review_cat,company,month,positivity,negativity,neutral,compound
sentiment,microsoft,Dec-22,0.118870197,0.041424714,0.839701973,0.252107269
sentiment,microsoft,Jan-23,0.091677744,0.037269889,0.871062437,0.169866667
sentiment,microsoft,Feb-23,0.126589769,0.042514544,0.830894684,0.268357874
sentiment,oracle,Dec-22,0.139837161,0.030912317,0.829257829,0.322644154
sentiment,oracle,Jan-23,0.11947191,0.033264045,0.847267416,0.310648315
sentiment,oracle,Feb-23,0.141039235,0.029099598,0.829865191,0.371222938
sentiment,ibm,Dec-22,0.045731269,0.030859141,0.923407592,0.044332068
sentiment,ibm,Jan-23,0.045695305,0.07681019,0.877493506,-0.050934965
sentiment,ibm,Feb-23,0.063996974,0.038948563,0.897049924,0.091553253
sentiment,apple,Dec-22,0.101110887,0.056326613,0.842579637,0.166123286
sentiment,apple,Jan-23,0.093085427,0.063976884,0.842930653,0.104766231
sentiment,apple,Feb-23,0.09539196,0.050347739,0.854247236,0.156301508
sentiment,google,Dec-22,0.101220441,0.049283567,0.849482966,0.185404609
sentiment,google,Jan-23,0.097861862,0.055735736,0.846406406,0.142894494
sentiment,google,Feb-23,0.099089447,0.049515578,0.099089447,0.180970553
